,titles,subtitles,links
27,NOU DEVELOPMENT,Chelsea 'ready to move for Lewandowski' if Barca's confirmed bid fails,https://www.thesun.co.uk/sport/football/19150553/chelsea-lewandowski-barcelona-transfer-bid/
28,,,https://www.thesun.co.uk/sport/19151673/richards-completes-forest-10m-transfer-bayern/
29,RHODE BLOCK,Boro transfer move for Rhodes in doubt with new Huddersfield boss a fan,https://www.thesun.co.uk/sport/football/19151170/middlesbrough-jordan-rhodes-huddersfield-transfer-exclusive/
30,,,https://www.thesun.co.uk/sport/19146783/newcastle-eddie-howe-alan-shearer-kevin-keegan/
31,LONDON CALLING,,https://www.thesun.co.uk/sport/football/19148139/chelsea-raheem-sterling-man-city-transfer/
32,KANT BELIEVE IT,,https://www.thesun.co.uk/sport/football/19150243/arsenal-transfer-ngolo-kante-chelsea-tour/
33,LUK WHO'S BACK,,https://www.thesun.co.uk/sport/19150839/lukaku-inter-return-10-0-goal-chelsea/
34,JOURNEY SOUTH,Southampton chasing cut-price £10m deal for former Celtic star Moussa Dembele,https://www.thesun.co.uk/sport/football/19146478/southampton-celtic-moussa-dembele-lyon/
35,,,https://www.thesun.co.uk/sport/football/19147285/tottenham-ndombele-lo-celso-reguilon-winks-conte-transfer/
36,'HAD A RAW DEAL',Jones backed by Dunn to change fortunes under Ten Hag despite missing tour,https://www.thesun.co.uk/sport/19147469/man-utd-phil-jones-pre-season-erik-ten-hag/
37,,,https://www.thesun.co.uk/sport/19146830/gustavo-hamer-transfer-fulham-coventry/
38,GUNNERS LATEST,"Gunners 'SUBMIT' £5.9m bid for Grimaldo, Tielemans top priority",https://www.thesun.co.uk/sport/19098994/arsenal-transfer-news-live-kante-tielemans-grimaldo/
39,,,https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-sterling-man-city-lewandowski-raphinha/
40,,,https://www.thesun.co.uk/sport/football/19072018/man-utd-transfer-news-live-frenkie-de-jong-leandro-paredes-strakosha/
41,EUROS ROUND-UP,,https://www.thesun.co.uk/sport/19141715/germany-denmark-spain-womens-euros/
42,SIMPLY THE BETH,Mead tells England pal White she's gunning for her all-time scoring record,https://www.thesun.co.uk/sport/19140910/euro-2022-beth-mead-england-ellen-white/
43,,,https://www.thesun.co.uk/sport/19129376/norway-northern-ireland-womens-euros/
44,SHORT SHRIFT,England Women ask Nike to change shorts over period concerns during Euro 2022,https://www.thesun.co.uk/sport/19119758/england-women-nike-period-concerns/
45,,,https://www.thesun.co.uk/sport/19105502/alexia-putellas-acl-injury-spain/
46,LOVE STORY,,https://www.thesun.co.uk/sport/football/19151660/man-city-jack-grealish-athens-holiday-love-sasha-attwood/
47,PINEAPPLE EXPRESS,Neymar's sister Rafaella flashes soapy bum as she sips from pineapple,https://www.thesun.co.uk/sport/19143690/neymar-sister-rafaella-flashes-bum-jacuzzi/
48,MO LIKE IT,,https://www.thesun.co.uk/sport/19112614/salah-trunks-incredible-abs-400k-deal/
49,MARK IRWIN,Man Utd boss Ten Hag and Lampard will be nervous now Pochettino is a free agent,https://www.thesun.co.uk/sport/19128687/pochettino-man-utd-ten-hag-chelsea-managers-beware/
50,,,https://www.thesun.co.uk/sport/football/19115918/chelsea-transfer-market-bullies-raheem-sterling/
51,,,https://www.thesun.co.uk/sport/19100091/cristiano-ronaldo-man-utd-piers-morgan-love-island/
52,MAKE WAVES,,https://www.thesun.co.uk/sport/19121721/football-superyachts-ronaldo-boat/
53,SAK THAT,,https://www.thesun.co.uk/sport/football/19152556/jack-grealish-bukayo-saka-wimbledon-invite/
54,BARC-ING MAD,Fans all ask the same thing after Sergio Busquets' holiday snap goes viral,https://www.thesun.co.uk/sport/football/19145593/sergio-busquets-barcelona-viral-holiday-shoes/
55,WHAT A WELCOME,,https://www.thesun.co.uk/sport/19142919/gareth-bale-lafc-welcome-megaphone-la-galaxy-unveiling/
56,'KICKING MYSELF',Drinkwater 'angry' for wasting years at Chelsea reveals 4 family tragedies,https://www.thesun.co.uk/sport/19142568/danny-drinkwater-angry-chelsea-tragedy-transfer/
57,,,https://www.thesun.co.uk/sport/football/19117430/man-utd-cristiano-ronaldo-rolls-royce-cullinan-clamped-lisbon/
58,MANCHESTER SHIPPY ,,https://www.thesun.co.uk/sport/19114248/man-city-sheikh-mansour-megayacht/
